timestamp,serial,event_type,old_value,new_value,details
2026-09-13 17:56:49,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 17:57:20,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 17:58:53,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 17:59:25,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:02:00,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:02:31,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:02:32,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 18:02:32,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 18:03:02,R5CR303YMGD,ADB_DISCONNECTED,,,
2026-09-13 18:03:32,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 18:03:33,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 18:03:33,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 18:04:35,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:05:06,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:09:46,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 18:09:46,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 18:10:18,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 18:10:18,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 18:10:48,R5CR303YMGD,ADB_DISCONNECTED,,,
2026-09-13 18:10:48,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:11:18,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 18:11:50,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:13:54,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:14:26,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:14:57,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:16:30,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:18:04,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:19:06,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:23:47,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:24:49,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:25:20,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:25:20,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 18:25:20,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 18:25:51,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:25:51,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 18:25:52,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 18:26:53,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:27:24,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:27:56,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 18:27:56,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
